"disp_id","type_card","issued","issued_year","issued_month","issued_day","is_junior","is_gold","is_classic","has_card"
1,"other",NA,NA,NA,NA,0,0,0,0
2,"other",NA,NA,NA,NA,0,0,0,0
3,"other",NA,NA,NA,NA,0,0,0,0
4,"other",NA,NA,NA,NA,0,0,0,0
5,"other",NA,NA,NA,NA,0,0,0,0
6,"other",NA,NA,NA,NA,0,0,0,0
7,"other",NA,NA,NA,NA,0,0,0,0
8,"other",NA,NA,NA,NA,0,0,0,0
9,"other",NA,NA,NA,NA,0,0,0,0
10,"other",NA,NA,NA,NA,0,0,0,0
11,"other",NA,NA,NA,NA,0,0,0,0
12,"other",NA,NA,NA,NA,0,0,0,0
13,"other",NA,NA,NA,NA,0,0,0,0
14,"other",NA,NA,NA,NA,0,0,0,0
15,"other",NA,NA,NA,NA,0,0,0,0
16,"other",NA,NA,NA,NA,0,0,0,0
17,"other",NA,NA,NA,NA,0,0,0,0
18,"other",NA,NA,NA,NA,0,0,0,0
19,"other",NA,NA,NA,NA,0,0,0,0
20,"other",NA,NA,NA,NA,0,0,0,0
21,"other",NA,NA,NA,NA,0,0,0,0
22,"other",NA,NA,NA,NA,0,0,0,0
23,"other",NA,NA,NA,NA,0,0,0,0
24,"other",NA,NA,NA,NA,0,0,0,0
25,"other",NA,NA,NA,NA,0,0,0,0
26,"other",NA,NA,NA,NA,0,0,0,0
27,"other",NA,NA,NA,NA,0,0,0,0
28,"other",NA,NA,NA,NA,0,0,0,0
29,"other",NA,NA,NA,NA,0,0,0,0
30,"other",NA,NA,NA,NA,0,0,0,0
31,"other",NA,NA,NA,NA,0,0,0,0
32,"other",NA,NA,NA,NA,0,0,0,0
33,"other",NA,NA,NA,NA,0,0,0,0
36,"other",NA,NA,NA,NA,0,0,0,0
37,"other",NA,NA,NA,NA,0,0,0,0
38,"other",NA,NA,NA,NA,0,0,0,0
39,"other",NA,NA,NA,NA,0,0,0,0
40,"other",NA,NA,NA,NA,0,0,0,0
41,"gold",950903,1995,9,3,0,1,0,1
42,"other",NA,NA,NA,NA,0,0,0,0
43,"other",NA,NA,NA,NA,0,0,0,0
44,"other",NA,NA,NA,NA,0,0,0,0
45,"other",NA,NA,NA,NA,0,0,0,0
46,"other",NA,NA,NA,NA,0,0,0,0
47,"other",NA,NA,NA,NA,0,0,0,0
48,"other",NA,NA,NA,NA,0,0,0,0
49,"other",NA,NA,NA,NA,0,0,0,0
50,"other",NA,NA,NA,NA,0,0,0,0
51,"junior",950424,1995,4,24,1,0,0,1
52,"other",NA,NA,NA,NA,0,0,0,0
53,"other",NA,NA,NA,NA,0,0,0,0
55,"other",NA,NA,NA,NA,0,0,0,0
56,"other",NA,NA,NA,NA,0,0,0,0
57,"other",NA,NA,NA,NA,0,0,0,0
58,"other",NA,NA,NA,NA,0,0,0,0
59,"other",NA,NA,NA,NA,0,0,0,0
60,"other",NA,NA,NA,NA,0,0,0,0
61,"other",NA,NA,NA,NA,0,0,0,0
62,"other",NA,NA,NA,NA,0,0,0,0
63,"other",NA,NA,NA,NA,0,0,0,0
64,"other",NA,NA,NA,NA,0,0,0,0
65,"other",NA,NA,NA,NA,0,0,0,0
66,"other",NA,NA,NA,NA,0,0,0,0
67,"other",NA,NA,NA,NA,0,0,0,0
68,"other",NA,NA,NA,NA,0,0,0,0
70,"other",NA,NA,NA,NA,0,0,0,0
71,"other",NA,NA,NA,NA,0,0,0,0
72,"other",NA,NA,NA,NA,0,0,0,0
73,"other",NA,NA,NA,NA,0,0,0,0
74,"other",NA,NA,NA,NA,0,0,0,0
75,"other",NA,NA,NA,NA,0,0,0,0
76,"other",NA,NA,NA,NA,0,0,0,0
77,"classic",961207,1996,12,7,0,0,1,1
78,"other",NA,NA,NA,NA,0,0,0,0
79,"other",NA,NA,NA,NA,0,0,0,0
80,"other",NA,NA,NA,NA,0,0,0,0
81,"other",NA,NA,NA,NA,0,0,0,0
82,"other",NA,NA,NA,NA,0,0,0,0
83,"junior",960911,1996,9,11,1,0,0,1
84,"other",NA,NA,NA,NA,0,0,0,0
85,"other",NA,NA,NA,NA,0,0,0,0
86,"other",NA,NA,NA,NA,0,0,0,0
87,"classic",940629,1994,6,29,0,0,1,1
89,"other",NA,NA,NA,NA,0,0,0,0
90,"other",NA,NA,NA,NA,0,0,0,0
91,"other",NA,NA,NA,NA,0,0,0,0
92,"other",NA,NA,NA,NA,0,0,0,0
93,"other",NA,NA,NA,NA,0,0,0,0
94,"other",NA,NA,NA,NA,0,0,0,0
95,"other",NA,NA,NA,NA,0,0,0,0
96,"other",NA,NA,NA,NA,0,0,0,0
97,"other",NA,NA,NA,NA,0,0,0,0
98,"other",NA,NA,NA,NA,0,0,0,0
99,"other",NA,NA,NA,NA,0,0,0,0
100,"other",NA,NA,NA,NA,0,0,0,0
101,"other",NA,NA,NA,NA,0,0,0,0
102,"other",NA,NA,NA,NA,0,0,0,0
103,"other",NA,NA,NA,NA,0,0,0,0
105,"other",NA,NA,NA,NA,0,0,0,0
106,"other",NA,NA,NA,NA,0,0,0,0
107,"other",NA,NA,NA,NA,0,0,0,0
108,"other",NA,NA,NA,NA,0,0,0,0
