district_id;region;num_inhab;num_municip_inhab_0_499;num_municip_inhab_500_1999;num_municip_inhab_2000_9999;num_municip_inhab_10000_;num_cities;perc_urban_inhab;avg_salary;perc_unemploy_95;perc_unemploy_96;enterp_per_1000;num_crimes_95;num_crimes_96;region_direction;city
1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;Hl.m. Praha
2;Bohemia;88884;80;26;6;2;5;46.7;8507;1.67;1.85;132;2159;2674;central;Benesov
3;Bohemia;75232;55;26;4;1;5;41.7;8980;1.95;2.21;111;2824;2813;central;Beroun
4;Bohemia;149893;63;29;6;2;6;67.4;9753;4.64;5.05;109;5244;5892;central;Kladno
5;Bohemia;95616;65;30;4;1;6;51.4;9307;3.85;4.43;118;2616;3040;central;Kolin
6;Bohemia;77963;60;23;4;2;4;51.5;8546;2.95;4.02;126;2640;3120;central;Kutna Hora
7;Bohemia;94725;38;28;1;3;6;63.4;9920;2.26;2.87;130;4289;4846;central;Melnik
8;Bohemia;112065;95;19;7;1;8;69.4;11277;1.25;1.44;127;5179;4987;central;Mlada Boleslav
9;Bohemia;81344;61;23;4;2;6;55.3;8899;3.39;3.97;149;2987;2487;central;Nymburk
10;Bohemia;92084;55;29;4;3;5;46.7;10124;0.56;0.54;141;3810;4316;central;Praha
11;Bohemia;75637;35;36;9;0;7;36.5;9622;0.45;0.59;154;3475;3529;central;Praha
12;Bohemia;107870;84;29;6;1;6;58.0;8754;3.83;4.31;137;3804;3868;central;Pribram
13;Bohemia;53921;61;22;1;1;2;41.3;8598;2.77;3.26;123;1597;1875;central;Rakovnik
14;Bohemia;177686;69;27;10;1;9;74.8;10045;1.42;1.71;135;6604;6295;south;Ceske Budejovice
15;Bohemia;58796;22;16;7;1;5;51.9;9045;3.13;3.6;124;1845;1879;south;Cesky Krumlov
16;Bohemia;93931;74;21;10;1;8;56.9;8427;1.12;1.54;107;1874;1913;south;Jindrichuv Hradec
17;Bohemia;74062;99;15;4;2;7;61.4;8114;2.38;2.62;119;1003;1181;south;Pelhrimov
18;Bohemia;70699;60;13;2;1;4;65.3;8968;2.83;3.35;131;1740;1910;south;Pisek
19;Bohemia;51428;50;11;3;1;4;52.7;8402;3.13;3.98;120;999;1099;south;Prachatice
20;Bohemia;70646;94;14;3;1;4;58.4;8547;2.65;3.64;120;1563;1542;south;Strakonice
21;Bohemia;103347;87;16;7;1;7;67.0;9104;1.51;2.07;123;2299;2354;south;Tabor
22;Bohemia;58400;65;16;4;1;6;52.4;8620;1.10;1.25;100;1089;1117;west;Domazlice
23;Bohemia;87419;21;11;4;3;9;85.5;8624;1.79;2.66;102;2879;3198;west;Cheb
24;Bohemia;122603;25;21;6;2;8;80.0;8991;1.39;2.01;128;5198;5273;west;Karlovy Vary
25;Bohemia;88757;60;33;3;2;10;61.7;8554;2.47;2.68;113;1822;2218;west;Klatovy
26;Bohemia;170449;0;0;0;1;1;100.0;10787;2.64;3.09;131;6041;6261;west;Plzen
27;Bohemia;67298;71;19;10;0;7;43.8;8561;0.65;1.29;110;1029;1127;west;Plzen
28;Bohemia;72541;66;26;10;0;8;36.9;8594;1.62;2.01;112;1580;1525;west;Plzen
29;Bohemia;45714;52;10;5;1;6;55.6;8843;2.82;3.6;113;818;888;west;Rokycany
30;Bohemia;94812;15;13;8;2;10;81.8;9650;3.38;3.67;100;2985;2804;west;Sokolov
31;Bohemia;51313;34;12;3;1;4;59.2;8930;3.52;4.2;108;1328;1452;west;Tachov
32;Bohemia;105058;32;19;7;2;10;81.0;9272;2.80;3.22;118;4340;4505;north;Ceska Lipa
33;Bohemia;133777;24;17;7;3;11;84.7;8705;5.75;7.61;116;4650;4859;north;Decin
34;Bohemia;125236;28;11;1;4;5;87.7;9675;6.43;7.68;100;5323;5190;north;Chomutov
35;Bohemia;88768;10;18;5;1;7;80.5;8867;1.02;1.21;130;3384;3620;north;Jablonec n. Nisou
36;Bohemia;159617;29;19;8;1;9;85.2;9198;3.33;4.28;131;5796;6132;north;Liberec
37;Bohemia;114006;71;26;6;2;9;62.3;9065;4.46;5.39;123;4147;4166;north;Litomerice
38;Bohemia;85852;41;23;4;2;4;59.8;8965;7.08;8.23;104;2653;2822;north;Louny
39;Bohemia;119895;17;4;3;2;4;89.9;10446;7.34;9.4;90;4947;4743;north;Most
40;Bohemia;128118;9;16;6;3;8;85.3;9317;6.49;7.07;97;6949;6872;north;Teplice
41;Bohemia;118650;8;8;5;1;3;85.6;9832;3.32;4.48;114;6445;5471;north;Usti nad Labem
42;Bohemia;95907;87;25;5;2;7;59.1;8388;2.41;2.94;87;1658;1668;east;Havlickuv Brod
43;Bohemia;161854;73;21;6;1;6;76.3;9425;1.72;2.5;125;4085;3891;east;Hradec Kralove
44;Bohemia;105606;77;26;7;2;7;53.0;8254;2.79;3.76;97;2166;2325;east;Chrudim
45;Bohemia;77917;85;19;6;1;5;53.5;8390;2.28;2.89;132;2080;2122;east;Jicin
46;Bohemia;112709;48;20;7;3;10;73.5;8369;1.79;2.31;117;2854;2618;east;Nachod
47;Bohemia;162580;83;26;5;1;6;72.8;9538;1.51;1.81;111;6079;5410;east;Pardubice
48;Bohemia;78955;50;24;8;1;9;59.0;9060;1.78;2.44;124;1655;1717;east;Rychnov nad Kneznou
49;Bohemia;75685;31;28;5;1;9;60.8;8208;1.89;2.26;155;1660;2123;east;Semily
50;Bohemia;102609;75;33;2;3;6;52.0;8187;4.83;5.45;94;2123;2134;east;Svitavy
51;Bohemia;121947;37;28;7;3;11;70.5;8541;2.51;2.97;131;3496;3839;east;Trutnov
52;Bohemia;139012;59;41;8;3;10;61.9;8363;2.52;3.49;108;2564;2799;east;Usti nad Orlici
53;Moravia;107911;88;33;6;2;7;50.9;8240;2.53;3.56;99;1850;1903;south;Blansko
54;Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;south;Brno
55;Moravia;157042;49;70;18;0;9;33.9;8743;1.88;2.43;111;3659;3894;south;Brno
56;Moravia;124605;11;42;14;1;8;46.0;8772;4.69;4.98;126;2854;3158;south;Breclav
57;Moravia;161954;21;37;20;3;8;48.0;8720;3.73;4.5;116;3729;3651;south;Hodonin
58;Moravia;109164;98;16;6;1;4;63.6;8757;3.38;3.95;96;2212;2471;south;Jihlava
59;Moravia;108871;41;29;7;2;6;62.1;8444;3.24;3.47;106;2595;2305;south;Kromeriz
60;Moravia;110643;49;41;4;1;4;51.9;8441;3.45;4.48;115;1879;2252;south;Prostejov
61;Moravia;117897;139;28;5;1;6;53.8;8814;4.76;5.74;107;2112;2059;south;Trebic
62;Moravia;145688;22;41;13;2;5;40.7;8544;1.29;1.86;109;2719;2906;south;Uherske Hradiste
63;Moravia;86513;38;36;5;1;5;50.5;8288;3.79;4.52;110;1562;1460;south;Vyskov
64;Moravia;197099;29;41;10;2;10;74.7;9624;1.60;2.31;145;4484;4265;south;Zlin
65;Moravia;114200;101;41;4;1;4;43.7;8403;5.74;5.72;105;2157;2718;south;Znojmo
66;Moravia;125832;151;41;2;3;5;48.3;8512;3.51;4.12;102;2247;2103;south;Zdar nad Sazavou
67;Moravia;106054;38;25;6;2;6;63.1;8110;5.77;6.55;109;3244;3079;north;Bruntal
68;Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;north;Frydek
69;Moravia;42821;4;13;5;1;3;48.4;8173;?;7.01;124;?;1358;north;Jesenik
70;Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;north;Karvina
71;Moravia;161227;5;35;11;4;10;69.7;8678;5.93;5.57;102;4980;4595;north;Novy Jicin
72;Moravia;226122;32;50;7;4;4;62.6;8994;3.80;4.79;110;9672;9208;north;Olomouc
73;Moravia;182027;17;49;12;2;7;56.4;8746;3.33;3.74;90;4355;4433;north;Opava
74;Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;north;Ostrava
75;Moravia;138032;67;30;4;2;5;64.6;8819;5.38;5.66;99;4063;4505;north;Prerov
76;Moravia;127369;31;32;13;2;7;51.2;8369;4.73;5.88;107;3736;2807;north;Sumperk
77;Moravia;148545;8;35;12;3;4;53.5;8909;4.01;5.56;113;3460;3590;north;Vsetin
