;loan_id;account_id;amount;duration;payments;status;loan_year;loan_month;loan_day
0;5314;1787;96396;12;8033;-1;93;07;05
1;5316;1801;165960;36;4610;1;93;07;11
2;6863;9188;127080;60;2118;1;93;07;28
3;5325;1843;105804;36;2939;1;93;08;03
4;7240;11013;274740;60;4579;1;93;09;06
5;6687;8261;87840;24;3660;1;93;09;13
6;7284;11265;52788;12;4399;1;93;09;15
7;6111;5428;174744;24;7281;-1;93;09;24
8;7235;10973;154416;48;3217;1;93;10;13
9;5997;4894;117024;24;4876;1;93;11;04
10;7121;10364;21924;36;609;1;93;11;10
11;6077;5270;79608;24;3317;1;93;11;22
12;6228;6034;464520;60;7742;-1;93;12;01
13;6356;6701;95400;36;2650;1;93;12;08
14;5523;2705;93888;36;2608;1;93;12;08
15;6456;7123;47016;12;3918;1;93;12;09
16;7104;10320;259740;60;4329;1;93;12;13
17;6820;9034;38148;12;3179;1;93;12;16
18;6876;9236;86616;12;7218;1;93;12;21
19;7097;10266;75624;24;3151;-1;93;12;23
20;4959;2;80952;24;3373;1;94;01;05
21;6499;7401;80952;24;3373;1;94;01;05
22;5479;2486;24516;12;2043;1;94;01;10
23;5170;1071;253200;60;4220;1;94;01;20
24;6721;8475;21072;24;878;1;94;01;21
25;7259;11111;108144;36;3004;1;94;01;31
26;5285;1603;78936;12;6578;1;94;02;06
27;5189;1166;149040;48;3105;1;94;02;07
28;6650;8073;49320;12;4110;-1;94;02;17
29;7226;10940;197748;36;5493;1;94;02;23
30;6087;5313;300660;60;5011;1;94;02;27
31;7262;11135;182628;36;5073;1;94;03;01
32;5519;2694;91632;12;7636;1;94;03;08
33;6577;7753;51696;24;2154;1;94;03;11
34;6509;7445;55368;24;2307;1;94;03;15
35;6520;7485;91200;24;3800;1;94;03;16
36;6699;8330;7656;24;319;1;94;03;30
37;6336;6555;212400;36;5900;1;94;03;31
38;7055;10079;167100;60;2785;1;94;04;06
39;6103;5385;149340;60;2489;1;94;04;07
40;6202;5891;65184;12;5432;1;94;04;18
41;7066;10131;215388;36;5983;-1;94;05;02
42;6696;8321;89040;60;1484;1;94;05;09
43;6072;5256;193968;36;5388;1;94;05;10
44;5130;813;24312;12;2026;1;94;05;11
45;5568;2933;272520;60;4542;1;94;05;17
46;6678;8173;80340;12;6695;1;94;05;20
47;6998;9833;97632;12;8136;1;94;05;21
48;6580;7769;196080;48;4085;1;94;05;22
49;6316;6473;76908;12;6409;-1;94;05;26
50;6512;7454;63312;48;1319;1;94;05;26
51;6407;6930;25944;24;1081;1;94;05;26
52;5002;173;104808;12;8734;1;94;05;31
53;6647;8051;208320;48;4340;1;94;06;01
54;7137;10439;151560;24;6315;1;94;06;03
55;6903;9337;52128;24;2172;1;94;06;04
56;5918;4576;300204;36;8339;1;94;06;04
57;6642;8027;77640;12;6470;1;94;06;05
58;6210;5927;87216;48;1817;-1;94;06;06
59;6279;6273;87360;24;3640;1;94;06;07
60;7249;11065;69360;48;1445;1;94;06;12
61;6736;8558;288360;60;4806;1;94;06;14
62;6112;5442;174744;24;7281;-1;94;06;17
63;5319;1811;239460;60;3991;1;94;06;23
64;6596;7844;91584;24;3816;1;94;06;25
65;5837;4260;244560;60;4076;1;94;06;29
66;5657;3354;4980;12;415;1;94;07;05
67;5533;2762;111384;24;4641;1;94;07;05
68;6232;6051;276660;36;7685;-1;94;07;08
69;6888;9265;39576;12;3298;1;94;07;11
70;6066;5228;173808;24;7242;1;94;07;11
71;5549;2824;50460;60;841;1;94;07;16
72;5060;426;252060;60;4201;-1;94;07;19
73;6004;4937;143904;24;5996;1;94;07;23
74;5126;790;208128;48;4336;-1;94;07;24
75;7220;10911;131292;36;3647;1;94;07;28
76;6668;8129;74736;36;2076;1;94;07;30
77;5395;2176;299088;36;8308;-1;94;07;30
78;6836;9093;189300;60;3155;1;94;08;03
79;6064;5215;14628;12;1219;1;94;08;04
80;6919;9403;120888;36;3358;1;94;08;05
81;6841;9104;172080;48;3585;1;94;08;07
82;6038;5120;323472;48;6739;1;94;08;10
83;6729;8519;74688;12;6224;1;94;08;11
84;7198;10788;45768;12;3814;1;94;08;23
85;6686;8260;224604;36;6239;1;94;08;25
86;5836;4259;79632;24;3318;1;94;08;27
87;7061;10105;121896;24;5079;1;94;08;27
88;5595;3050;82896;12;6908;1;94;09;02
89;5723;3674;23628;12;1969;1;94;09;10
90;6120;5481;209184;48;4358;1;94;09;11
91;6895;9307;41904;12;3492;1;94;09;19
92;5882;4427;87816;12;7318;1;94;09;26
93;5754;3834;23052;12;1921;1;94;09;28
94;6594;7824;189696;24;7904;-1;94;09;28
95;6738;8566;230220;36;6395;-1;94;09;29
96;6624;7965;71460;12;5955;1;94;09;30
97;6216;5952;141240;24;5885;1;94;09;30
98;6229;6040;11736;24;489;1;94;10;02
99;5887;4448;192744;36;5354;1;94;10;03
100;6808;8982;227880;36;6330;1;94;10;12
101;6297;6363;17508;12;1459;1;94;10;25
102;5161;1012;98184;24;4091;1;94;10;28
103;5390;2167;170256;24;7094;1;94;10;30
104;6150;5622;83016;12;6918;1;94;11;02
105;6223;5991;61056;48;1272;1;94;11;03
106;5032;290;123696;48;2577;1;94;11;03
107;6253;6148;59760;24;2490;1;94;11;04
108;6460;7133;48672;36;1352;1;94;11;06
109;6645;8041;140400;36;3900;1;94;11;06
110;5176;1106;192552;24;8023;-1;94;11;12
111;5269;1527;164052;36;4557;-1;94;11;19
112;5351;1978;205200;36;5700;1;94;12;04
113;5861;4337;51408;24;2142;1;94;12;08
114;5450;2345;199680;60;3328;1;94;12;11
115;7142;10451;482940;60;8049;-1;94;12;19
116;6306;6425;36684;12;3057;1;94;12;20
117;6272;6226;398640;60;6644;1;94;12;20
118;5044;344;100980;60;1683;1;94;12;21
119;5576;2962;31248;12;2604;1;94;12;21
120;7192;10738;115992;36;3222;1;94;12;21
121;5739;3747;76380;12;6365;1;95;01;02
122;6526;7523;288468;36;8013;1;95;01;03
123;5624;3166;177744;48;3703;-1;95;01;03
124;6244;6118;270648;36;7518;-1;95;01;08
125;5131;816;48624;24;2026;1;95;01;08
126;6960;9640;76416;24;3184;1;95;01;11
127;6358;6715;137880;60;2298;-1;95;01;14
128;5418;2245;347952;48;7249;1;95;01;16
129;6598;7857;68112;12;5676;1;95;01;18
130;5464;2419;95808;12;7984;1;95;01;30
131;6591;7819;20832;48;434;1;95;02;02
132;5724;3678;316140;60;5269;-1;95;02;05
133;6315;6472;43164;12;3597;1;95;02;06
134;5876;4413;221280;48;4610;1;95;02;08
135;6986;9750;151728;48;3161;-1;95;02;11
136;6294;6353;79920;60;1332;1;95;02;12
137;5132;817;538500;60;8975;1;95;02;17
138;5877;4414;97224;24;4051;1;95;02;23
139;6227;6030;28248;24;1177;1;95;03;04
140;7241;11021;168984;24;7041;-1;95;03;04
141;6737;8564;76680;24;3195;1;95;03;11
142;7004;9869;331560;60;5526;1;95;03;15
143;6169;5700;103680;60;1728;-1;95;03;16
144;5208;1247;99696;48;2077;-1;95;03;16
145;6694;8316;134784;24;5616;1;95;03;19
146;5599;3064;15420;12;1285;1;95;03;21
147;6546;7607;31728;24;1322;1;95;03;27
148;5414;2228;185952;48;3874;1;95;03;29
149;5453;2361;156672;36;4352;1;95;04;01
150;5740;3752;18564;12;1547;1;95;04;02
151;5804;4079;158976;48;3312;1;95;04;05
152;6745;8625;47304;24;1971;1;95;04;10
153;6950;9591;104712;24;4363;1;95;04;11
154;6996;9828;126600;24;5275;1;95;04;13
155;5352;1993;68400;12;5700;-1;95;04;15
156;6151;5628;225420;60;3757;1;95;04;25
157;5310;1762;248148;36;6893;1;95;04;28
158;5045;347;187224;24;7801;-1;95;05;01
159;6929;9472;36396;12;3033;1;95;05;08
160;5151;960;189060;60;3151;1;95;05;24
161;5212;1256;71064;36;1974;1;95;05;29
162;5138;854;87216;48;1817;1;95;05;30
163;5713;3629;158760;60;2646;1;95;05;30
164;6704;8377;417060;60;6951;1;95;06;01
165;6474;7190;63360;60;1056;1;95;06;06
166;6676;8159;29784;24;1241;1;95;06;13
167;6965;9656;139536;24;5814;1;95;06;13
168;6725;8489;265320;36;7370;1;95;06;23
169;7166;10630;198240;24;8260;1;95;06;24
170;7138;10440;60000;60;1000;1;95;07;03
171;5970;4774;465072;48;9689;1;95;07;09
172;6157;5650;98592;24;4108;1;95;07;10
173;6153;5632;285600;60;4760;1;95;07;25
174;5693;3489;44088;24;1837;1;95;08;01
175;5922;4580;20220;12;1685;1;95;08;05
176;5959;4727;107640;24;4485;1;95;08;11
177;5980;4825;21396;12;1783;1;95;08;18
178;6764;8776;33984;48;708;1;95;08;26
179;5237;1375;45336;24;1889;1;95;08;29
180;6726;8492;85860;60;1431;1;95;09;03
181;6933;9493;188688;48;3931;1;95;09;09
182;5145;915;309552;48;6449;1;95;09;16
183;7008;9897;36168;12;3014;1;95;09;22
184;7227;10942;314520;60;5242;1;95;10;02
185;6600;7861;21852;36;607;1;95;10;08
186;6712;8405;266220;60;4437;1;95;10;14
187;7057;10093;231696;36;6436;1;95;10;20
188;7176;10663;260028;36;7223;1;95;10;28
189;7304;11349;419880;60;6998;1;95;10;29
190;6362;6738;37908;12;3159;1;95;10;31
191;5880;4423;73836;36;2051;1;95;10;31
192;6535;7546;41952;12;3496;1;95;11;02
193;5449;2343;99336;24;4139;1;95;11;04
194;6342;6609;60156;36;1671;-1;95;11;12
195;5409;2218;182040;60;3034;1;95;11;18
196;6955;9627;244368;48;5091;1;95;11;22
197;6985;9731;113796;36;3161;1;95;11;22
198;5125;789;73056;48;1522;1;95;11;23
199;5805;4081;137904;24;5746;-1;95;11;28
200;6185;5774;31176;24;1299;1;95;11;28
201;7243;11042;217152;36;6032;1;95;12;04
202;6403;6924;194880;48;4060;1;95;12;05
203;6578;7765;27984;12;2332;1;95;12;11
204;5413;2227;92976;24;3874;1;95;12;12
205;6949;9583;104712;24;4363;1;95;12;12
206;6545;7606;191880;60;3198;1;95;12;12
207;6178;5742;232560;48;4845;1;95;12;16
208;5160;1011;204000;60;3400;1;95;12;18
209;6785;8899;125340;60;2089;1;95;12;25
210;6540;7562;309600;48;6450;1;95;12;31
211;6589;7815;189696;24;7904;1;96;01;01
212;5900;4503;135360;48;2820;1;96;01;01
213;5999;4907;98832;48;2059;1;96;01;03
214;6043;5126;20352;48;424;1;96;01;11
215;5482;2496;165120;60;2752;1;96;01;12
216;7263;11138;89880;24;3745;1;96;01;19
217;6013;4995;128988;36;3583;-1;96;02;03
218;5750;3804;63252;12;5271;1;96;02;08
219;6027;5066;61656;24;2569;-1;96;02;10
220;6303;6400;72408;24;3017;-1;96;02;12
221;7213;10884;113544;36;3154;1;96;02;13
222;6659;8092;56100;60;935;1;96;02;20
223;6175;5735;290700;60;4845;-1;96;02;21
224;5610;3112;123216;48;2567;1;96;02;24
225;5563;2912;380160;60;6336;1;96;02;29
226;5989;4852;213300;36;5925;1;96;03;04
227;6698;8327;247728;48;5161;1;96;03;10
228;5312;1772;202788;36;5633;1;96;03;13
229;7189;10728;154656;48;3222;1;96;03;21
230;6816;9017;100224;48;2088;-1;96;03;26
231;6137;5574;44628;12;3719;1;96;04;10
232;5128;808;215616;48;4492;-1;96;04;11
233;5470;2456;200976;48;4187;1;96;04;15
234;5593;3037;277884;36;7719;-1;96;04;18
235;5350;1967;249312;48;5194;1;96;04;21
236;6063;5213;320976;48;6687;-1;96;04;25
237;6501;7418;30276;12;2523;-1;96;04;29
238;5452;2352;49440;60;824;1;96;04;29
239;4961;19;30276;12;2523;-1;96;04;29
240;4973;67;165960;24;6915;1;96;05;02
241;6190;5794;123600;60;2060;1;96;05;06
242;6715;8411;220620;60;3677;1;96;05;06
243;5892;4462;66480;24;2770;-1;96;05;14
244;6550;7614;320592;48;6679;1;96;05;18
245;5706;3608;161496;36;4486;1;96;05;24
246;5148;940;284280;60;4738;1;96;05;29
247;6734;8547;173016;36;4806;1;96;05;30
