"account_id","only_na_account","min_balance","mean_balance","max_balance"
25,0,900,63742.3020833333,119652.7
37,0,-1011.2,35366.1210526316,83969.8
38,0,13841,31905.1816326531,55991.1
97,0,900,32569.616,60094
103,1,379,46480.803125,116038.4
105,1,6835.7,31282.6183673469,74693.6
110,0,900,45291.9354166667,79652.2
176,0,12586.5,52157.5119047619,104138.9
226,0,1000,47208.8490566038,80433.2
276,0,700,48603.7372093023,72576
303,0,900,43931.8672131148,65425.9
309,1,12223.2,29866.6680851064,59725.7
314,0,15580.3,38829.825,109016.3
319,0,700,47461.6,89424.3
330,1,400,41422.7847457627,73943
339,0,400,58555.4228915663,127425.3
349,0,9181.5,17396.7589285714,31616.5
378,0,20574,74346.8585106383,132469.1
440,0,500,26054.714,50218.4
442,1,600,5350,10100
472,0,36988,57145.54,113888
525,0,300,42433.8909090909,121135.2
666,0,18592.5,39849.0982758621,57779.4
675,0,10463.3,31590.4386666667,43612.7
718,0,500,33875.3925925926,105970.4
785,0,36760.4,59959.8666666667,75179.3
825,0,15389.1,32711.7954545455,60421.6
873,0,1000,21973.9166666667,32371.5
938,1,19869.5,26330.1,30854.6
993,1,28755.5,53772.9921052632,99999.6
1004,1,200,66455.8033057851,143846.4
1068,0,1000,32980.4085714286,96491.4
1083,0,400,27301.796,47900.9
1093,0,13583.2,46426.1545454545,121006.5
1242,0,200,40765.558,131453.2
1244,0,900,23150.6638888889,34144.4
1252,0,21057.7,39741.2224137931,67784.7
1270,0,16164.6,24136.324,33238.8
1284,1,1000,57116.7088888889,112874.9
1318,0,200,26062.2272727273,70887.8
1329,0,500,24048.3423076923,33918
1374,0,700,57509.309375,126403.5
1389,0,14120.9,50975.1970588235,105296.2
1407,0,800,71576.248,143696.8
1447,0,12808,25646.0833333333,29942.7
1480,1,15100,56424.325,132024.9
1498,1,600,55349.8457142857,116112.4
1528,1,500,32158.9980769231,57550.1
1580,1,15284.9,52421.2179104478,134156.7
1638,0,900,41839.316,92048.9
1656,0,500,34103.4015151515,78411.8
1718,0,300,56684.1780487805,108779.2
1776,0,14069,36078.4794117647,62263.4
1808,1,16200,65433.8193548387,118170.7
1819,0,700,23454.747826087,69710.9
1869,1,24564,61138.2466666667,100074.6
1876,0,18894,48247.1697674419,74276.7
1888,0,-5851.2,36018.0526315789,75456.3
1906,0,1000,52255.5447368421,127317
1928,0,500,28416.6238095238,51438.2
2000,0,20194.6,45406.9322580645,58812.2
2018,0,900,19653.3211538462,28303
2035,0,17745.6,51195.8174418605,87431.8
2051,1,-2755.9,47536.11875,94418.3
2055,0,2811.2,14170.365625,36339.1
2064,0,500,28744.5111111111,51781
2073,1,600,38156.6125,65663.5
2080,0,37013.4,63109.4111111111,112408.8
2116,0,21347.5,42898,131664.2
2134,0,300,40981.644,56308.4
2142,0,19190,43051.175,67491.1
2165,0,20449,45371.6222222222,67058.7
2187,1,25414.2,62657.4694444444,144762.5
2246,1,13435,36266.7416666667,92039
2247,0,19406.4,38718.9428571429,119520.3
2262,1,23235.7,68419.747,141146.2
2279,0,12556.7,49312.2185185185,99692.3
2334,0,17931.7,32470.1551724138,47832
2335,0,-17030.4,9692.25890410959,50163.7
2350,0,600,47987.4454545455,86829.6
2413,0,500,28450.6611111111,45617.5
2445,1,800,39511.2333333333,90389.3
2516,1,300,36918.4518518519,66125.9
2545,0,1100,24252.7228070175,47281.2
2622,0,13195.6,32759.8775,47278.2
2699,0,21180.9,55359.5918367347,117135.6
2720,0,17693.5,69887.6,144694.2
2725,0,24109.3,50562.2701030928,74473.4
2728,0,400,53180.4552631579,94694.7
2753,0,17025.7,33543.8285714286,67026
2754,0,18760.3,45397.9607843137,123335.2
2872,0,200,23955.604,49189.6
2910,0,900,43979.5564102564,101929.2
2936,0,6571,22173.9821428571,34411.2
2982,0,26441.7,61656.3409638554,115468.7
2986,0,22129,46686.4747474747,72489.8
2988,1,900,53837.98,148386.3
3005,0,15000,55326.65625,95979.8
3137,0,900,38902.4289855072,74342.3
3143,0,300,28470.7786885246,40158
3161,1,4089.9,43732.0583333333,91667.6
3229,0,16703.5,64958.38,134678.1
3249,0,10823.6,28429.6625,60132.6
3273,0,5420,48939.7755813953,113023.1
3293,0,1100,56405.6147058824,103348.3
3329,0,22291.6,37158.942,60870.3
3353,0,200,45014.2647058823,90387.4
3390,0,1100,49183.5741935484,73480.9
3403,1,19754.2,55579.0236842105,118378.2
3418,1,13200,52588.4705882353,113788.9
3448,1,700,37279.2019230769,68589.3
3455,0,20148.5,50828.655,91961.6
3460,1,300,59634.7259259259,107837.1
3556,0,1100,33683.3661971831,64669.5
3562,1,1000,61509.7517241379,159286.4
3637,0,400,51724.3628205128,75211.1
3664,1,20584.5,67504.6736842105,115112.9
3711,1,400,51909.3916666667,103750.1
3859,1,200,39894.44375,97546.1
3862,0,9850,56312.3646153846,119982.6
3875,0,32144.4,64238.125,100675.4
3906,0,34647.6,66303.8833333333,86606.9
3907,1,600,48557.337254902,116837.6
3916,0,8188.4,23587.9705882353,50063.3
3942,0,19668.2,63496.6914285714,119144
3953,0,500,59170.528,98852.6
3967,1,900,43912.862962963,105258.8
4033,1,1000,31507.5888888889,48781.6
4052,0,900,34265.7676470588,76251.4
4099,0,24992.8,40246.4914285714,55296.1
4116,0,25052.4,67941.847368421,110723.2
4127,0,-1571.5,17262.3071428571,61150.3
4144,0,1100,50152.9736842105,119287.7
4190,0,700,34385.9829059829,48646.5
4268,0,18827.4,38378.8426229508,57965.7
4293,0,500,46419.8485714286,116758.5
4320,1,-2542.1,58388.4230769231,117586.6
4342,0,13195.9,56961.2329113924,120586.5
4354,0,1000,46874.2725,112775.8
4361,0,700,79303.3133333333,110714.5
4415,0,14415.1,43857.9930693069,73209
4456,1,700,78241.1301587302,132141.8
4467,0,14344.7,28902.3323529412,47929.1
4473,0,800,53376.1325,72638.2
4533,0,44702.2,68018.24,111516.5
4550,0,700,22847.4090909091,31061.9
4616,0,35892,71326.0888888889,89595.1
4618,1,12551.9,51930.3862068966,115744.9
4626,1,700,44669.2972222222,102499.5
4631,0,22682,41639.8807692308,68893.3
4660,0,48048.6,67070.6,81374.6
4681,0,16399.9,36000.2413793103,65744.2
4715,0,400,63785.4133333333,106189.2
4725,0,23045,40285.6789473684,70585.8
4746,1,28216.5,53635.8263157895,129449.6
4784,0,400,42592.3142857143,67778.8
4794,0,7186.4,27357.6416666667,49947.4
4803,1,11656.1,24613.5947368421,32572.8
4858,0,8994.4,41320.7230769231,96893
4863,0,300,51904.8093023256,103199.2
4949,0,400,58429.6620689655,118790.4
4969,0,200,41281.41,92464.9
4999,0,7606.7,37828.0363636364,87236
5072,0,1100,56802.9051282051,82886.2
5118,0,9538.4,30971.6485714286,44216.4
5133,0,14787.4,45194.9114285714,93255.4
5164,0,6692,26109.1095238095,37212.7
5180,1,700,19629.1428571429,26770.9
5181,1,300,43757.1021276596,85656.2
5196,0,300,45962.4058823529,114330.6
5267,1,-8657.3,40028.7217948718,112463.7
5269,0,500,37105.5482758621,62258.4
5283,0,35188.1,68382.4933333333,121425
5305,0,600,42659.8,85996.9
5317,0,15229,32906.0166666667,51813.7
5358,0,24220.1,43015.2810810811,71564.8
5362,0,800,38165.04,82957.9
5395,1,400,44202.9424242424,103412.1
5445,0,18416,40912.25,56765.7
5477,0,19078.9,61410.5476923077,142574.7
5572,0,800,41843.4347826087,81775.4
5591,0,23872.3,44374.3953488372,74216.8
5602,1,14881.4,53003.9033333333,117942
